FT,newEvent,basicEvent,discard,same_as,family,quant1,quant2,quant3,quant4,quant5,method,truncate,support.lower,support.upper,degree.freedom,criteria,comments,addpercentiles,addp1,addq1,basicEventR,expertID
1,NA,FT1-1a,TRUE,NA,beta,0.3,0.7,0.7,NA,NA,lbubc,0,NA,NA,NA,SS,,0,NA,NA,FT11a,Exp1
1,NA,FT1-1a,FALSE,NA,normal,0.25,1,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT11a,Exp2
1,NA,FT1-1a,FALSE,NA,lognormal,0.25,0.6,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT11a,Exp3
1,NA,FT1-1a,FALSE,NA,lognormal,0.3,0.5,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK both lognormal and gamma are reasonable. No preference for either.,0,NA,NA,FT11a,Exp4
1,NA,FT1-1b,FALSE,NA,normal,0.2,0.8,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT11b,Exp2
1,NA,FT1-1b,FALSE,NA,lognormal,0.225,0.54,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,,0,NA,NA,FT11b,Exp3
1,NA,FT1-1b,FALSE,FT11a,lognormal,0.3,0.5,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,same as 1a,0,NA,NA,FT11b,Exp4
1,NA,FT1-1b-factor,TRUE,NA,normal,0.2,0.8,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,"(0.2,0.8)0.8 trun norm 0, inf happy with q10 q90.",0,NA,NA,FT11bfactor,Exp1
1,NA,FT1-1b-factor,FALSE,NA,normal,0.1,0.9,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,"trun norm (0.1,0.9)0.9 happy with q10 q90",0,NA,NA,FT11bfactor,Exp5
1,NA,FT1-1c,FALSE,NA,normal,0.1,1,0.7,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT11c,Exp2
1,NA,FT1-1c,FALSE,NA,lognormal,0.2025,0.486,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT11c,Exp3
1,NA,FT1-1c,FALSE,NA,lognormal,0.35,0.75,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK  again both lognormal and gamma are reasonable,0,NA,NA,FT11c,Exp4
1,NA,FT1-1c-factor,TRUE,NA,normal,0.3,0.9,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT11cfactor,Exp1
1,NA,FT1-1c-factor,FALSE,NA,normal,0.4,0.9,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT11cfactor,Exp5
1,NA,FT1-2a,FALSE,NA,beta,0.05,0.4,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT12a,Exp2
1,NA,FT1-2a,FALSE,NA,beta,0.4,0.8,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT12a,Exp3
1,NA,FT1-2a,FALSE,NA,beta,0.55,0.95,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT12a,Exp4
1,NA,FT1-2b,FALSE,NA,beta,0.05,0.75,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT12b,Exp2
1,NA,FT1-2b,FALSE,NA,beta,0.36,0.72,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT12b,Exp3
1,NA,FT1-2b,FALSE,NA,beta,0.4,0.9,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT12b,Exp4
1,NA,FT1-1a,FALSE,NA,normal,0.3,0.7,0.7,NA,NA,lbubc,1,0,Inf,NA,SS,NA,0,NA,NA,FT11a,Exp1
1,NA,FT1-1b,FALSE,NA,normal,0.1,0.4,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,NA,0,NA,NA,FT11b,Exp1
1,NA,FT1-1c,FALSE,NA,normal,0.2,0.5,0.7,NA,NA,lbubc,1,0,Inf,NA,SS,NA,0,NA,NA,FT11c,Exp1
1,NA,FT1-2b-factor,FALSE,NA,normal,0.5,1.5,0.7,NA,NA,lbubc,1,0,Inf,NA,SS,human to mos. G3 to WT . Happy with q90. ,0,NA,NA,FT12bfactor,Exp1
1,NA,FT1-2b-factor,FALSE,NA,normal,0.4,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,Ok. Trunc norm happy with q90,0,NA,NA,FT12bfactor,Exp5
1,NA,FT1-2c,FALSE,NA,beta,0.36,0.72,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT12c,Exp3
1,NA,FT1-2c,FALSE,NA,beta,0.58,0.96,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT12c,Exp4
1,NA,FT1-2c-factor,FALSE,NA,normal,0.8,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,Happy with trunc norm and q10 q90 and didn't want to make any change,0,NA,NA,FT12cfactor,Exp1
1,NA,FT1-2c-factor,FALSE,NA,normal,0.8,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,"Happy with q10 and q90 on trunc norm (0.8,1.2)0.8",0,NA,NA,FT12cfactor,Exp5
1,NA,FT1-3a,FALSE,NA,beta,0.2,0.8,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13a,Exp2
1,NA,FT1-3a,FALSE,NA,beta,0.9,1,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13a,Exp6
1,NA,FT1-3a,FALSE,NA,beta,0.8,0.95,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13a,Exp3
1,NA,FT1-3a,FALSE,NA,beta,0.75,0.95,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT13a,Exp4
1,NA,FT1-3b,FALSE,NA,beta,0.2,0.8,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13b,Exp2
1,NA,FT1-3b,FALSE,FT13a,beta,0.9,1,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13b,Exp6
1,NA,FT1-3b,FALSE,NA,beta,0.8,0.95,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13b,Exp3
1,NA,FT1-3b,FALSE,FT13a,beta,0.75,0.95,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,KRH: Discovered 251114,0,NA,NA,FT13b,Exp4
1,NA,FT1-3b-factor,FALSE,FT12b_factor,normal,0.5,1.5,0.7,NA,NA,lbubc,1,0,Inf,NA,SS,KRH: Discovered 251114,0,NA,NA,FT13bfactor,Exp1
1,NA,FT1-3b-factor,FALSE,FT12c_factor,normal,0.8,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,KRH: Discovered 251114,0,NA,NA,FT13bfactor,Exp5
1,NA,FT1-3c,FALSE,NA,beta,0.2,0.8,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13c,Exp2
1,NA,FT1-3c,FALSE,FT13a,beta,0.9,1,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13c,Exp6
1,NA,FT1-3c,FALSE,NA,beta,0.8,0.95,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT13c,Exp3
1,NA,FT1-3c,FALSE,NA,beta,0.8,0.98,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT13c,Exp4
1,NA,FT1-3c-factor,FALSE,FT12c_factor,normal,0.8,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,KRH: Discovered 251114,0,NA,NA,FT13cfactor,Exp1
1,NA,FT1-3c-factor,FALSE,FT12c_factor,normal,0.8,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,KRH: Discovered 251114,0,NA,NA,FT13cfactor,Exp5
1,NA,FT1-4a-lifespan,FALSE,NA,lognormal,12,20,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK  applies to both male and female wt,0,NA,NA,FT14alifespan,Exp4
1,NA,FT1-4a-mortality,FALSE,NA,beta,0.1,0.2,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,,0,NA,NA,FT14amortality,Exp1
1,NA,FT1-4a-mortality,FALSE,NA,beta,0.055,0.165,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14amortality,Exp3
1,NA,FT1-4a-survival,FALSE,NA,beta,0.5,0.75,0.7,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14asurvival,Exp2
1,NA,FT1-4b-lifespan,FALSE,NA,lognormal,12,20,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK  applies to both male and female wt,0,NA,NA,FT14blifespan,Exp4
1,NA,FT1-4b-mortality,FALSE,NA,beta,0.08,0.15,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,happy with trunc norm and q10 q90,0,NA,NA,FT14bmortality,Exp1
1,NA,FT1-4b-mortality,FALSE,NA,beta,0.05,0.15,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14bmortality,Exp3
1,NA,FT1-4b-survival,FALSE,NA,beta,0.6,0.95,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14bsurvival,Exp2
1,NA,FT1-4c-factor,TRUE,FT14d_factor,lognormal,0.8,5,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,norm/gamma not correct. lognormal and change conf to 0.9,0,NA,NA,FT14cfactor,Exp1
1,NA,FT1-4c-survival,FALSE,NA,beta,0.3,0.6,0.7,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14cfactor,Exp2
1,NA,FT1-4c-factor,FALSE,FT14d_factor,lognormal,1.2,4,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,KRH: Discovered 251114,0,NA,NA,FT14cfactor,Exp5
1,NA,FT1-4c-lifespan,FALSE,NA,lognormal,6.4,11.2,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT14clifespan,Exp4
1,NA,FT1-4c-mortality,FALSE,NA,beta,0.066,0.198,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14cmortality,Exp3
1,NA,FT1-4d-factor,TRUE,NA,lognormal,0.8,5,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,norm/gamma not correct. lognormal and change conf to 0.9,0,NA,NA,FT14dfactor,Exp1
1,NA,FT1-4d-survival,FALSE,NA,beta,0.1,0.95,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14dfactor,Exp2
1,NA,FT1-4d-factor,FALSE,NA,lognormal,1.2,4,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,"(1.2,4)0.8 happy with q10 and q90 on lognorm",0,NA,NA,FT14dfactor,Exp5
1,NA,FT1-4d-lifespan,FALSE,NA,lognormal,11.2,16.8,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14dlifespan,Exp4
1,NA,FT1-4d-mortality,FALSE,NA,beta,0.06,0.18,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14dmortality,Exp3
1,NA,FT1-4e-factor,TRUE,FT14f_factor,lognormal,0.7,1.2,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,KRH: Discovered 251114,0,NA,NA,FT14efactor,Exp1
1,NA,FT1-4e-survival,FALSE,NA,beta,0.15,0.5,0.7,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14efactor,Exp2
1,NA,FT1-4e-lifespan,FALSE,NA,lognormal,4.8,12,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT14elifespan,Exp4
1,NA,FT1-4e-mortality,FALSE,NA,beta,0.0726,0.2178,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14emortality,Exp3
1,NA,FT1-4f-factor,TRUE,NA,lognormal,0.7,1.2,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,"Happy with lognorm (0.7,1.1)0.8",0,NA,NA,FT14ffactor,Exp1
1,NA,FT1-4f-survival,FALSE,NA,beta,0.1,0.95,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14ffactor,Exp2
1,NA,FT1-4f-factor,FALSE,NA,lognormal,1.05,1.7,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,"(1.05,1.7)0.8, lognorm happy with q10 q90",0,NA,NA,FT14ffactor,Exp5
1,NA,FT1-4f-lifespan,FALSE,FT14e_lifespan,lognormal,4.8,12,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT14flifespan,Exp4
1,NA,FT1-4f-mortality,FALSE,NA,beta,0.066,0.198,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT14fmortality,Exp3
1,NA,FT1-5a,FALSE,NA,normal,50,80,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT15a,Exp2
1,NA,FT1-5a,TRUE,NA,normal,35,65,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT15a,Exp3
1,NA,FT1-5a,FALSE,NA,lognormal,20,100,0.95,NA,NA,lbubc,1,0,Inf,NA,SS,Amended following feedback report,0,NA,NA,FT15a,Exp3
1,NA,FT1-5a,FALSE,NA,lognormal,120,200,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT15a,Exp4
1,NA,FT1-5b,TRUE,NA,normal,35,65,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT15b,Exp3
1,NA,FT1-5b,FALSE,FT1-5a,lognormal,20,100,0.95,NA,NA,lbubc,1,0,Inf,NA,SS,Amended following feedback report,0,NA,NA,FT15b,Exp3
1,NA,FT1-5b,FALSE,NA,lognormal,40.5,72,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT15b,Exp4
1,NA,FT1-4d-mortality,FALSE,NA,beta,0.2,0.9,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,NA,0,NA,NA,FT14d,Exp1
1,NA,FT1-4f-mortality,FALSE,NA,beta,0.15,0.5,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,NA,0,NA,NA,FT14f,Exp1
1,NA,FT1-4e-mortality,FALSE,NA,beta,0.25,0.6,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,NA,0,NA,NA,FT14e,Exp1
1,NA,FT1-4c-mortality,FALSE,NA,beta,0.2,0.9,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,NA,0,NA,NA,FT14c,Exp1
1,NA,FT1-5b-factor,FALSE,NA,normal,0.7,1,0.6,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT15bfactor,Exp1
1,NA,FT1-5b-factor,FALSE,NA,normal,0.8,1.5,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT15bfactor,Exp5
1,NA,FT1-5c,FALSE,NA,normal,25,80,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT15c,Exp2
1,NA,FT1-5c,TRUE,NA,normal,31.5,58.5,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT15c,Exp3
1,NA,FT1-5c,FALSE,NA,lognormal,18,90,0.95,NA,NA,lbubc,1,0,Inf,NA,SS,Amended following feedback report,0,NA,NA,FT15c,Exp3
1,NA,FT1-5c,FALSE,NA,lognormal,21.25,55.25,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT15c,Exp4
1,NA,FT1-5c-factor,FALSE,NA,normal,0.8,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT15cfactor,Exp1
1,NA,FT1-5c-factor,FALSE,NA,normal,0.75,1.2,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT15cfactor,Exp5
1,NA,FT1-6a,TRUE,NA,lognormal,0.01,1,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT16a,Exp3
1,NA,FT1-6a,FALSE,NA,lognormal,0.01,2.9,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,Amended following feedback report,0,NA,NA,FT16a,Exp3
1,NA,FT1-6a,FALSE,NA,lognormal,0.02,0.2,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT16a,Exp4
1,NA,FT1-6b,FALSE,NA,lognormal,0.1,1,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,"dispersal female for a week. log norm (0.1,1)0.8. happy with q10 q90",0,NA,NA,FT16b,Exp1
1,NA,FT1-6b,TRUE,NA,lognormal,0.01,2,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT16b,Exp3
1,NA,FT1-6b,FALSE,FT1-6a,lognormal,0.01,2.9,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,Amended following feedback report,0,NA,NA,FT16b,Exp3
1,NA,FT1-6b,FALSE,NA,lognormal,0.2,1,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT16b,Exp4
1,NA,FT1-6c,TRUE,NA,lognormal,0.08,0.8,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT16c,Exp3
1,NA,FT1-6c,FALSE,NA,lognormal,0.008,2.32,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,Amended following feedback report,0,NA,NA,FT16c,Exp3
1,NA,FT1-6c,FALSE,NA,lognormal,0.01,0.1,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT16c,Exp4
1,NA,FT1-6d,FALSE,NA,lognormal,0.1,0.8,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,,0,NA,NA,FT16d,Exp1
1,NA,FT1-6d,FALSE,NA,lognormal,0.1,0.7,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,,0,NA,NA,FT16d,Exp5
1,NA,FT1-6d,TRUE,NA,lognormal,0.008,1.6,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT16d,Exp3
1,NA,FT1-6d,FALSE,FT1-6c,lognormal,0.008,2.32,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,Amended following feedback report,0,NA,NA,FT16d,Exp3
1,NA,FT1-6d,FALSE,NA,lognormal,0.02,0.3,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT16d,Exp4
1,NA,FT1-6e,FALSE,NA,lognormal,0.0072,0.72,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT16e,Exp3
1,NA,FT1-6e,FALSE,NA,lognormal,0.01,0.06,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT16e,Exp4
1,NA,FT1-6f,FALSE,NA,lognormal,0.0072,1.44,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT16f,Exp3
1,NA,FT1-6f,FALSE,NA,lognormal,0.02,0.2,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT16f,Exp4
1,NA,FT1-6f-factor,FALSE,NA,normal,0.4,1.1,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,"happy with norm (0.4,1.1)0.8 includ zero and above 1. ",0,NA,NA,FT16ffactor,Exp1
1,NA,FT1-6f-factor,FALSE,NA,normal,0.8,1.1,0.7,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT16ffactor,Exp5
1,NA,FT1-7a,FALSE,NA,beta,0.2,0.7,0.8,NA,NA,lbubc,0,NA,NA,NA,SS,,0,NA,NA,FT17a,Exp1
1,NA,FT1-7a,FALSE,NA,beta,0.4,0.8,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT17a,Exp3
1,NA,FT1-7a,FALSE,NA,beta,0.5,0.85,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT17a,Exp4
1,NA,FT1-7b,FALSE,NA,beta,0.3,0.7,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT17b,Exp3
1,NA,FT1-7b,FALSE,NA,beta,0.4,0.7,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT17b,Exp4
1,NA,FT1-7b-factor,TRUE,NA,normal,0.2,0.8,0.8,NA,NA,lbubc,1,0,Inf,NA,SS,,0,NA,NA,FT17bfactor,Exp1
1,NA,FT1-7c,FALSE,NA,beta,0.2,0.6,0.9,NA,NA,lbubc,0,NA,NA,NA,SS,ok,0,NA,NA,FT17c,Exp3
1,NA,FT1-7c,FALSE,NA,beta,0.3,0.8,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT17c,Exp4
1,NA,FT1-8a,TRUE,NA,normal,8,12,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT18a,Exp3
1,NA,FT1-8a,FALSE,NA,normal,9,11,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,Amended following feedback report,0,NA,NA,FT18a,Exp3
1,NA,FT1-8a,FALSE,NA,lognormal,9,10,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,OK,0,NA,NA,FT18a,Exp4
1,NA,FT1-8b,FALSE,NA,normal,8,12,0.9,NA,NA,lbubc,1,0,Inf,NA,SS,ok,0,NA,NA,FT18b,Exp3
1,NA,FT1-8b,FALSE,FT18a,lognormal,9,10,0.5,NA,NA,lbubc,0,NA,NA,NA,SS,KRH: Discovered 251114,0,NA,NA,FT18b,Exp4
