X,Y,CompID,Locality,Category,long_dd,lat_dd,X_m,Y_m,Alt_m,Houses_tre,Houses_Are,Nb_houses,Nb_Rooms,NB_bednets,Nb_beds
-4.469136,11.234835,0,Village,School,-4.469136,11.234835,339617.96784,1242346.12655,341.151001,0,0,0,0,0,0
-4.472138,11.233009,0,Village,Garage,-4.472138,11.233009,339289.168535,1242145.7993,333.460571,0,0,0,0,0,0
-4.472321,11.233856,0,Village,Mosque,-4.472321,11.233856,339269.655718,1242239.58275,335.86377,0,0,0,0,0,0
-4.470748,11.232972,0,Village,Church,-4.470748,11.232972,339440.923058,1242140.94741,339.114258,0,0,0,0,0,0
-4.476898,11.234642,0,Market,Bridge,-4.476898,11.234642,338770.32763,1242329.02568,326.666992,0,0,0,0,0,0
-4.482933,11.238026,0,Market,Market,-4.482933,11.238026,338113.25158,1242706.63547,340.189697,0,0,0,0,0,0
-4.470356,11.232398,0,Village,Training center,-4.470356,11.232398,339483.408338,1242077.24549,335.623413,0,0,0,0,0,0
-4.471614,11.232748,0,Village,Drilling,-4.471614,11.232748,339346.239974,1242116.64472,334.421875,0,0,0,0,0,0
-4.470685,11.234565,0,Village,Drilling,-4.470685,11.234565,339448.683331,1242317.10849,334.181519,0,0,0,0,0,0
-4.482521,11.238899,1,Market,Concession,-4.482521,11.238899,338158.724602,1242802.96815,332.258911,0,0,0,0,0,0
-4.482576,11.239197,2,Market,Concession,-4.482576,11.239197,338152.885479,1242835.95923,330.095825,0,0,0,0,0,0
-4.482328,11.239146,3,Market,Concession,-4.482328,11.239146,338179.935854,1242830.1817,334.662231,0,0,0,0,0,0
-4.482557,11.239426,4,Market,Concession,-4.482557,11.239426,338155.087838,1242861.27769,333.220215,0,0,0,0,0,0
-4.482163,11.239525000000128,5,Market,Concession,-4.482163,11.239525,338198.163418,1242872.01076,336.825073,0,0,0,0,0,0
-4.482541,11.239696,6,Market,Concession,-4.482541,11.239696,338156.985506,1242891.13268,338.26709,0,0,0,0,0,0
-4.483132,11.23955500000011,7,Market,Concession,-4.483132,11.239555,338092.376314,1242875.86273,341.391235,0,0,0,0,0,0
-4.483557,11.240019000000132,8,Market,Concession,-4.483557,11.240019,338046.230183,1242927.41847,338.988037,0,0,0,0,0,0
-4.483055,11.239961,9,Market,Concession,-4.483055,11.239961,338101.010458,1242920.72662,336.344482,0,0,0,0,0,0
-4.483073,11.240318,10,Market,Concession,-4.483073,11.240318,338099.244337,1242960.22313,337.06543,0,0,0,0,0,0
-4.482766,11.24038400000012,11,Market,Concession,-4.482766,11.240384,338132.802013,1242967.35402,332.018555,0,0,0,0,0,0
-4.482563,11.240653,12,Market,Concession,-4.482563,11.240653,338155.117359,1242996.99538,338.988037,0,0,0,0,0,0
-4.482649,11.240871,13,Market,Concession,-4.482649,11.240871,338145.848825,1243021.15502,340.430054,0,0,0,0,0,0
-4.482824,11.241018,14,Market,Concession,-4.482824,11.241018,338126.822936,1243037.51061,338.507446,0,0,0,0,0,0
-4.483061,11.240809000000127,15,Market,Concession,-4.483061,11.240809,338100.828676,1243014.52441,338.26709,0,0,0,0,0,0
-4.483544,11.240807000000132,16,Market,Concession,-4.483544,11.240807,338048.089636,1243014.5694,336.825073,0,0,0,0,0,0
-4.483494,11.240548,17,Market,Concession,-4.483494,11.240548,338053.404431,1242985.89469,337.546021,0,0,0,0,0,0
-4.483551,11.240321,18,Market,Concession,-4.483551,11.240321,338047.053942,1242960.81839,339.468628,0,0,0,0,0,0
-4.483846,11.24046,19,Market,Concession,-4.483846,11.24046,338014.92098,1242976.35535,341.151001,0,0,0,0,0,0
