MRR,Date,XcoordGPS,YcoordGPS,ColMethod,variable,NumMoz,relSite
1,2013-10-09T00:00:00Z,-4.473088,11.234109,Swarm,Male Mark A,1,A
1,2013-10-09T00:00:00Z,-4.473309,11.233703,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.473379,11.233701,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.473371,11.233755,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.473449,11.233894,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.47282,11.233604,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.47288,11.233968,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.473285,11.230863,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.472312,11.232571,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.472238,11.232476,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.472171,11.233716,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.472098,11.233781,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.47276,11.233868,Swarm,Male Mark A,1,A
1,2013-10-09T00:00:00Z,-4.472935,11.234441,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.472926,11.234531,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.472799,11.234499,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.470298,11.23102,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.472979,11.236017,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.469475,11.234917,Swarm,Male Mark A,0,A
1,2013-10-09T00:00:00Z,-4.469321,11.233395,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.473088,11.234109,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.47288,11.233968,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.473138,11.234098,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.473444,11.233827,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.473449,11.233894,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.472851,11.23367,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.47282,11.233604,Swarm,Male Mark A,1,A
1,2013-10-10T00:00:00Z,-4.472774,11.233523,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.472802,11.233649,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.472706,11.233577,Swarm,Male Mark A,0,A
1,2013-10-10T00:00:00Z,-4.473237,11.232689,Swarm,Male Mark A,0,A
