Date,Marker.Code,Method,Long,Lat,Marker.Type,Old.New,Swarm.Size,Height.m.,An.gsl.F,An.gsl.M,An.pha,An.ruf,An.cou,An.squ,An.fun,An.fla,An.nil,Cul.spp,Man.spp,Aed.spp,X_m,Y_m
2016-06-19,BF.BV.95.006,SWN,-4.472839,11.235127,Building,Old,15,2.5,0,7,0,0,0,0,0,0,0,0,0,0,339213.799309302,1242380.44646821
2016-06-19,BF.BV.96.011,SWN,-4.473061,11.235343,Building,Old,20,2,0,1,0,0,0,0,0,0,0,4,0,0,339189.678850722,1242404.45884847
2016-06-19,BF.BV.98.002,SWN,-4.47303,11.23621,Building,Old,5,2,0,0,0,0,0,0,0,0,0,1,0,0,339193.544219034,1242500.33746488
2016-06-19,BF.BV.98.007,SWN,-4.473098,11.235998,Field ,Old,5,3.5,0,4,0,0,0,0,0,0,0,0,0,0,339186.001835098,1242476.92615378
2016-06-19,BF.BV.103.003,SWN,-4.472031,11.235236,Field,Old,10,3,0,2,0,0,0,0,0,0,0,0,0,0,339302.085102395,1242392.06069019
2016-06-20,BF.BV.105.004,SWN,-4.471163,11.234155,Building,Old,20,1,0,6,0,0,0,0,0,0,0,0,0,0,339396.26359419,1242272.02109578
2016-06-20,BF.BV.105.005,SWN,-4.471283,11.234069,Building,Old,20,2,0,3,0,0,0,0,0,0,0,0,0,0,339383.113173332,1242262.57453206
2016-06-20,BF.BV.105.010,SWN,-4.47124,11.234133,Field ,Old,15,2,0,5,0,0,0,0,0,0,0,0,0,0,339387.843773246,1242269.62982951
2016-06-20,BF.BV.110.002,SWN,-4.469275,11.233507,Building,Old,6,2.5,0,3,0,0,0,0,0,0,0,0,0,0,339602.056467624,1242199.31760098
2016-06-20,BF.BV.113.001,SWN,-4.470809,11.233964,Building,Old,4,2,0,1,0,0,0,0,0,0,0,0,0,0,339434.811246463,1242250.7019578
2016-06-20,BF.BV.113.005,SWN,-4.470791,11.233846,Bare.Ground,Old,3,1.5,0,2,0,0,0,0,0,0,0,0,0,0,339436.711386748,1242237.64060861
2016-06-20,BF.BV.114.009,SWN,-4.470697,11.234038,Bare.Ground,Old,6,3,0,5,0,0,0,0,0,0,0,0,0,0,339447.08149323,1242258.8256375
2016-06-21,BF.BV.66.001,SWN,-4.473338,11.232734,Waste water,Old,5,2,0,2,0,0,0,0,0,0,0,0,0,0,339157.987298891,1242116.0388223
2016-06-21,BF.BV.71.001,SWN,-4.473306,11.230824,Wood,Old,40,1,0,14,0,0,0,0,0,0,0,0,0,0,339160.423074638,1241904.76350181
2016-06-21,BF.BV.72.001,SWN,-4.472665,11.23024,Bare.Ground,Old,20,1.5,0,15,0,0,0,0,0,0,0,0,0,0,339230.091430316,1241839.81898214
2016-06-21,BF.BV.75.005,SWN,-4.473008,11.232468,Container,Old,15,2,0,2,0,0,0,0,0,0,0,0,0,0,339193.872899407,1242086.43706712
2016-06-22,BF.BV.78.004,SWN,-4.472426,11.232567,Field ,Old,5,2,0,4,0,0,0,0,0,0,0,0,0,0,339257.476831789,1242097.06882432
2016-06-22,BF.BV.78.020,SWN,-4.472196,11.232656,Wood,Old,15,1,0,2,0,0,0,0,0,0,0,5,0,0,339282.640008028,1242106.78703489
2016-06-22,BF.BV.80.013,SWN,-4.47151,11.232429,Bare.Ground,Old,20,1,0,4,0,0,0,0,0,0,0,0,0,0,339357.419256512,1242081.30454136
2016-06-22,BF.BV.83.002,SWN,-4.471161,11.231427,Wood,Old,6,2.5,0,5,0,0,0,0,0,0,0,0,0,0,339394.972458739,1241970.28657976
2016-06-22,BF.BV.84.003,SWN,-4.471089,11.232077,Grass,Old,5,3,0,4,0,0,0,0,0,0,0,0,0,0,339403.193848321,1242042.1412085
2016-06-22,BF.BV.87.008,SWN,-4.470794,11.232697,Bare.Ground,Old,5,1,0,2,0,0,0,0,0,0,0,0,0,0,339435.74815829,1242110.55586119
2016-06-22,BF.BV.116.002,SWN,-4.47139,11.23345,Pit,Old,20,2,0,1,0,0,0,0,0,0,0,0,0,0,339371.087216918,1242194.16781261
2016-06-23,BF.BV.56.025,SWN,-4.473426,11.234124,Pit,Old,6,3,0,1,0,0,0,0,0,0,0,1,0,0,339149.148879007,1242269.82958724
2016-06-23,BF.BV.57.012,SWN,-4.473072,11.233862,Wood,Old,30,3.5,0,12,0,0,0,0,0,0,0,1,0,0,339187.657067267,1242240.6570926
2016-06-23,BF.BV.60.003,SWN,-4.473236,11.233795,Building,Old,6,3,0,5,0,0,0,0,0,0,0,0,0,0,339169.712712319,1242233.33619379
2016-06-23,BF.BV.60.007,SWN,-4.473039,11.233669,Building,Old,10,2,0,6,0,0,0,0,0,0,0,0,0,0,339191.1534097,1242219.29204703
2016-06-23,BF.BV.60.008,SWN,-4.473055,11.233809,Building,Old,6,2,0,2,0,0,0,0,0,0,0,0,0,0,339189.48393637,1242234.78566533
2016-06-23,BF.BV.63.001,SWN,-4.472851,11.23367,Wood,Old,5,3,1,2,0,0,0,0,0,0,0,0,0,0,339211.681770481,1242219.29982391
2016-06-23,BF.BV.63.011,SWN,-4.472754,11.233524,Building,Old,5,1,0,1,0,0,0,0,0,0,0,0,0,0,339222.192363403,1242203.09827228
2016-06-23,BF.BV.89.003,SWN,-4.472155,11.233801,Bare.Ground,Old,30,2,0,13,0,0,0,0,0,0,0,0,0,0,339287.750860195,1242233.40865616
2016-06-23,BF.BV.89.004,SWN,-4.472171,11.233716,Plants.Garden,Old,100,2,0,28,0,0,0,0,0,0,0,0,0,0,339285.956743812,1242224.01588055
2016-06-23,BF.BV.89.008,SWN,-4.472098,11.233781,Plants.Garden,Old,80,1,1,42,0,0,0,0,0,0,0,0,0,0,339293.963636678,1242231.16537332
